candidate_id,source_record_number,source_filename,case_number,text_sha256,related_record_ids,reason,disposition
telegram-linked-precedent-30c932a4a130c20941fac7d9,49,20.pdf,33422254,896d830b0964beb53d3d61d6912fe991046ef60200eb70b23c86d25e5b0ca42e,collector-1434-v20-p49-33341688;moj-1434-v20-p49-33341688,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-d4a53d6a2844c33ef8e3122a,50,20.pdf,33422610,a8bf89df9a9ff17e616562466bfe0057d78d74c2c11b26fdccee4e7c5a732f4c,collector-1434-v20-p57-33321801;moj-1434-v20-p57-33321801,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-88fcfa0e9524065565150d46,51,20.pdf,33453864,f1c161537caf9de9aa90311a06f860c14beccc57e19511655a1a29d2baf7206a,collector-1434-v20-p87-3452993;moj-1434-v20-p87-3452993,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-176e79fb0218349794134485,52,20.pdf,33455562,48510c8e00c656d02bf42459247a0656ffccacb48d7a0ec7bfabef9cc75cb4f1,collector-1434-v20-p96-33388788;moj-1434-v20-p96-33388788;recovered-moj-1434-v20-p96-33388788,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-80595400a3a76510b3119ff9,54,20.pdf,33467488,fa3fc81e0e2d373d934c369c54d0fb139cf91e9d67d9870ef5344438468e6664,collector-1434-v20-p114-33409886;moj-1434-v20-p114-33409886,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-da2b44a76833d9749ed38a38,58,20.pdf,33475424,73306694761c02f30ef773446ff742443a54477d89777291f27fa2ee56af6dd4,collector-1434-v20-p134-3412610;moj-1434-v20-p134-3412610,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-4e8207b63d69435b0a3c6782,59,20.pdf,33475424,34863549d6ebf3507f4d38e47a5fd27541cb8b0eb55661d8342775317b30ea78,collector-1434-v20-p134-3412610;moj-1434-v20-p134-3412610;telegram-linked-precedent-da2b44a76833d9749ed38a38,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-0667449c9db29105d83d0813,60,20.pdf,33475424,7a3bd8737406884adda59a3ccc9cc25feffbffdfd4d38db68b87ad272d7ac278,collector-1434-v20-p134-3412610;moj-1434-v20-p134-3412610;telegram-linked-precedent-4e8207b63d69435b0a3c6782;telegram-linked-precedent-da2b44a76833d9749ed38a38,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-909f370c5a146e6844df4476,63,20.pdf,33507446,5ac712785e52654e475d8e5517f429b2fc1fc63499d95caf371774735b927b70,collector-1434-v20-p158-33482733;moj-1434-v20-p158-33482733,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-bab560e63f266eee509fbaf9,64,20.pdf,33535027,86c03d8226510237d4da1d9804fb740ae1fb78ebd9a339d6a8a74e93fcd7dcce,collector-1434-v20-p171-33399240;moj-1434-v20-p171-33399240,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-2ed4f346ba3b66a915ff71f4,70,20.pdf,33660093,cd91329f8fa4ddeaaba24f73246a94d0db0cba0c89056a7364eddf1dbc50a06c,collector-1434-v20-p226-33465313;moj-1434-v20-p226-33465313,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-7f81c64ec2cdde0908b4db53,72,20.pdf,33673162,365cb555d17052e1290bd4eda196ae4278e67a0c67b678421515e6b6d0963804,collector-1434-v20-p243-34789;moj-1434-v20-p243-34789,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-4ec48d39ae6f89cdc418d843,73,20.pdf,33673162,7541749abc72f9a585ec68e84a3143e9bf1a66b0d208293b7ea344c20c975b44,collector-1434-v20-p243-34789;moj-1434-v20-p243-34789;telegram-linked-precedent-7f81c64ec2cdde0908b4db53,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-aea07882f48af93c4a5ced4e,76,20.pdf,33684837,ebb154d8c04d47b5fdce1ab920d9234f0463ef688731572288b268aadcb3ba7d,collector-1434-v20-p260-3422856;moj-1434-v20-p260-3422856,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-424d6a718c1685b590b69aac,77,20.pdf,33685113,cb3d9c668d5a8a7a35e91b2b9975a1e5ffbb59681220f95fce6218310c536e77,collector-1434-v20-p266-345917;moj-1434-v20-p266-345917,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-c8edaa4d74e63ff03eb12c28,78,20.pdf,33685705,d2ca685df744ae913f3ae757a8456fc43f2325ec542e4f4f80c3faad2062a29d,collector-1434-v20-p271-34283200;moj-1434-v20-p271-34283200,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-479ba081d497b4b22ffafd64,79,20.pdf,33689319,ec1aeabc000f15741094a6f5c04427609c2913a8a19dae2b5a4e3b0d012f1817,collector-1434-v20-p278-3415883;moj-1434-v20-p278-3415883,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-87dc01a9d81a498989eb5ede,81,20.pdf,33704208,51133a3886cda1f9e39410956fcf71c87db74f698d1e61ceb0d9e93e04cb5743,collector-1434-v20-p291-3424765;moj-1434-v20-p291-3424765,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-00fe8016b6c9d6fd8e955ed5,83,20.pdf,34105417,0f97d9e317f4477a2d815ed6ee92f2ec760e046639baf5afd9ca0de85a741317,collector-1434-v20-p308-34172935;moj-1434-v20-p308-34172935,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-a2062aa8915ac54ba7dc516d,84,20.pdf,34105617,a45d45ca96bc62003004b1c612e95bd032ef2c49b8b5ecabf4e432484204f6d4,collector-1434-v20-p326-34171532;moj-1434-v20-p326-34171532,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-e80730714def90628854fa3a,132,19 مجموعة الاحكام القضائية.pdf,31742,a4db2f9bdd355b429e27879477b5a41e66dee950a83b0bc438b3df7faabe17ea,collector-1434-v19-p9-34185966;moj-1434-v19-p9-34185966,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-5443ffd1e07df0b22db292ca,134,19 مجموعة الاحكام القضائية.pdf,349858,f8c1bf21daeccc3bc59dd6b64bf12da8647e29cc5594004f03a4209cd7f7b70e,collector-1434-v19-p30-3435848;moj-1434-v19-p30-3435848,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-af21bb9613a0435088211296,135,19 مجموعة الاحكام القضائية.pdf,3293909,ac20e5514e9a17bdbbb7aed94bbd742ebbde39fbe6dc892db08047ff61bc6b97,collector-1434-v19-p37-34377717;moj-1434-v19-p37-34377717,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-33bcbdb4ce4ab6cbfdb51285,136,19 مجموعة الاحكام القضائية.pdf,3412332,5da953126a011a39f33a4deca781e29125ee9331c0e717ee7f56380409973623,collector-1434-v19-p57-3426395;moj-1434-v19-p57-3426395,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-4b12111568032f13529dcde1,138,19 مجموعة الاحكام القضائية.pdf,3423430,6d23acc95d4e4e4ece3a684860f07377fcc5201652f84c2ee0c457566a3f2012,collector-1434-v19-p97-3414438;nafa-1098-13-3423430;text-d6e4a667fa9fed4592ca,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-fe871a6937bdd372ef26c858,139,19 مجموعة الاحكام القضائية.pdf,34165124,98d0a1fcd800b952b4394fd1b5546804f4c2a9e07a4b01e79e1797e4e2b591a1,collector-1434-v19-p103-3423765;nafa-1098-14-34165124;text-6f608b5cd8042e895aaf,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-cae40252d6c4b03fae2dacbb,140,19 مجموعة الاحكام القضائية.pdf,3426830,43f36bd720d61edbfd6d486132d8001b2fe5de17288d3c90336ba07b991ff8f4,collector-1434-v19-p109-3417638;moj-1434-v19-p109-3417638,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-fcfc26ceff5c6e0553043da5,143,19 مجموعة الاحكام القضائية.pdf,3450244,147cef5a0320608782e99f602a8a0d698880c5f7a19107380fb946bd88bf3741,collector-1434-v19-p143-34343483;moj-1434-v19-p143-34343483,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-e569dcf53a3ee786ebd1bb4d,144,19 مجموعة الاحكام القضائية.pdf,3458657,b5391dc56e47cac081d90bce4d3701b2415cce8e8ca3b3155adf69031a0bcda5,collector-1434-v19-p148-3436702;moj-1434-v19-p148-3436702,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-b6a2c8867bee31ac6695a16a,147,19 مجموعة الاحكام القضائية.pdf,3476029,b53333cd630e07dd818167bb6b101f1fc257caee0c4dba6b476ca72e21a9659d,collector-1434-v19-p176-3438665;nafa-1098-24-3476029;text-35cbf94e9e772944e72c,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-a521bd6972da79776e0da224,149,19 مجموعة الاحكام القضائية.pdf,3481135,865d9e46973362964568a5e3dcbdf13d7d370b4a665595b02009788b5e7fd915,collector-1434-v19-p195-34252576;moj-1434-v19-p195-34252576,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-4faffea02e9fa9ff46e1bc62,150,19 مجموعة الاحكام القضائية.pdf,1434/02,db92bd0e685a154c7d28d16acf7eefde34157eafc10e3b51d414ec3037220a6f,telegram-linked-precedent-cf7516f6441d33eab88fc677,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-80e2da34e0be02dd25558db0,155,19 مجموعة الاحكام القضائية.pdf,32901007,0898d1c9658b24f017437d64497549e61464a5ed070e4e3e2e62a32040ec6519,collector-1434-v19-p240-34272983;moj-1434-v19-p240-34272983;recovered-moj-1434-v19-p240-34272983,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-89c954ad838e432f09f12152,157,19 مجموعة الاحكام القضائية.pdf,0000,c26b94d26d33500eb4671d8715ef5bcfddf777e097d30a0bee6a546a93935fab,telegram-linked-precedent-47b7e4b71705377c88b4ea1a,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-4cc9b364b12008f9016d920d,159,19 مجموعة الاحكام القضائية.pdf,33266519,36b1b781080d26410c05ac8243fe5661470ca49430ab308dbdc68be8c8267228,collector-1434-v19-p280-33366603;moj-1434-v19-p280-33366603,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-791062c30963c2811285a4ca,160,19 مجموعة الاحكام القضائية.pdf,33272516,10d659169e15f271f4734a1829a34b19bb4ef50ef4c89b1616b19cc4616c0752,collector-1434-v19-p287-33275897;moj-1434-v19-p287-33275897,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-a9691d6ca4e5c8688a41dc34,161,19 مجموعة الاحكام القضائية.pdf,33285095,0893b1dfc2ac5a288957d720425b247c7d8e321e686672e82b4229e0de732167,collector-1434-v19-p295-33314559;moj-1434-v19-p295-33314559;recovered-moj-1434-v19-p295-33314559,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-5725a566b12c59a51ef03853,163,19 مجموعة الاحكام القضائية.pdf,33344796,33d90871bde84aeb667f8cfc28821cb15df74ab50acf801669c6ab0d91537089,collector-1434-v19-p324-33374012;moj-1434-v19-p324-33374012,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-8b140a82a554c7c110112a4b,202,7.pdf,3395424,336d0cdba33288687d05e06b768426c259ed920db26d48e80880abdead39ecd6,collector-1434-v7-p59-33413765;moj-1434-v7-p59-33413765,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-25441680c1e31ae76a97762c,205,7.pdf,33591344,09007143a4ff44d107ad3cd7b9461a77e2cb81747423938fdeb63215f542d5e3,collector-1434-v7-p91-33452634;moj-1434-v7-p91-33452634,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-bd39f8d4f5fc87e36983bb8e,208,7.pdf,33611853,37ec25cb6e53587ad1fe36ef691a4dcadcc93309798cec5665251de363bf7fa9,collector-1434-v7-p112-34256030;moj-1434-v7-p112-34256030,same_case_reference_distinct_or_unconfirmed_text,manual_review
