source_file,source_path,official_url,sha256,bytes,pages,acquired_at,classification,boundary_records,review_records_added
moj-judgments-1434-volume-10.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-10.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/10.pdf,17172099759e4ae4a6305358e6d4d5bbec12444976069e1628e22ecb672ea010,3781511,412,2026-09-06T11:50:45+00:00,materialized,50,2
moj-judgments-1434-volume-12.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-12.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/12.pdf,7fbbefdb8b810d9daac796f824690c44b591184def9ac255751a20224fa7afc8,4104368,378,2026-09-06T11:50:52+00:00,materialized,51,1
moj-judgments-1434-volume-14.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-14.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/14.pdf,0faac966c633e1dad8ee3f8223fa401525eafdf75d2803e8d35e6c072becc830,4476366,376,2026-09-06T11:51:00+00:00,materialized,41,9
moj-judgments-1434-volume-15.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-15.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/15.pdf,3e70236bdf469ad1869f69fe165b936b4af1b67d6540fa32c467ff95360207e8,4853226,387,2026-09-06T11:51:10+00:00,materialized,61,4
moj-judgments-1434-volume-16.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-16.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/16.pdf,fbdf36deb24184bcd1453d4528d8e766d8800c753b8f21cfc3f22d9a916a242f,4673339,427,2026-09-06T11:51:16+00:00,materialized,64,2
moj-judgments-1434-volume-17.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-17.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/17.pdf,0fd12ae23184b837d4064d9481aed000ccba83493f30c15f7c271684d9768d3d,3563724,512,2026-09-06T11:51:27+00:00,materialized,51,1
moj-judgments-1434-volume-18.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-18.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/18.pdf,78873a7fe67123a392d1d8ed904a3d8a9a83abfe3e85f1b0d16961538d28f9da,3123094,506,2026-09-06T11:51:36+00:00,materialized,55,3
moj-judgments-1434-volume-19.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-19.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/19.pdf,3b89f883e82d7873ba50f322388b29458eafbeb7548b6b06d6e5f32ce06c196e,2478577,339,2026-09-06T11:51:43+00:00,materialized,35,5
moj-judgments-1434-volume-20.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-20.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/20.pdf,da777c85ad04c163536bc394d58196b0cd50748a8bfa960b0ac0ce725ed69659,2478112,336,2026-09-06T11:51:51+00:00,materialized,41,2
moj-judgments-1434-volume-21.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-21.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/21.pdf,e583fce1668437c0845f2ce9c364757a6d048a0c1681c6fb2ec4cf870f8ae57d,2449134,332,2026-09-06T11:51:58+00:00,materialized,37,9
moj-judgments-1434-volume-22.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-22.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/22.pdf,af23fd28ca115b52ffa13a98c2df44844943922b31cedde362a78702f8b9c133,3538771,267,2026-09-06T11:52:05+00:00,materialized,37,0
moj-judgments-1434-volume-23.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-23.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/23.pdf,442bb453ae6df7ee553646855b1610c79bd7b97d72b72cb641762bc7da3dfa23,4057284,353,2026-09-06T11:52:15+00:00,materialized,47,2
moj-judgments-1434-volume-24.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-24.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/24.pdf,9d0aa148f65f5c5468d29fb23ed346b56cdc0ad9e763d2404badbf750b51a03a,8366296,369,2026-09-06T11:52:22+00:00,materialized,38,5
moj-judgments-1434-volume-25.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-25.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/25.pdf,f4e975329bbf9e33d2851c84b1de5273b52b9dc1c4fc9eda6d08f93f0b25aa9b,4701062,420,2026-09-06T11:52:30+00:00,materialized,31,1
moj-judgments-1434-volume-26.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-26.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/26.pdf,b487906703f851e559d5d43a99eda6797f6b59d93f1b5d193e3f96e0bd45c27d,2868672,375,2026-09-06T11:52:41+00:00,materialized,33,4
moj-judgments-1434-volume-27.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-27.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/27.pdf,432edec85c03e7879aec9a85cb09a8882ff47ee73e3462d17845190c68475efe,4269148,317,2026-09-06T11:52:51+00:00,materialized,33,0
moj-judgments-1434-volume-28.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-28.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/28.pdf,427cfcd78c7d5368b2fbb4d9a63e685744daa9fd3ba2a58c586ded4a03e53de9,4354201,309,2026-09-06T11:52:59+00:00,materialized,44,10
moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,380,2026-09-06T11:50:03+00:00,materialized,47,1
moj-judgments-1434-volume-30.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-30.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/30.pdf,b61c94d5a3ac33d818c94a40b7744b666efee46d3cf62d31b87125745276724a,1622433,176,2026-09-06T11:53:10+00:00,reference_only,0,0
moj-judgments-1434-volume-4.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-4.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/4.pdf,47d4c5054697335c8926799bd75ca40e51c5ddb31286a024defb7310e90e713e,4858612,356,2026-09-06T11:50:13+00:00,materialized,45,3
moj-judgments-1434-volume-6.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-6.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/6.pdf,d8164d23575435d9de8ae23e628410450521627312e060d519a1d069c0675e11,4364841,410,2026-09-06T11:50:20+00:00,materialized,39,2
moj-judgments-1434-volume-7.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-7.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/7.pdf,f5f2ad3c10d624ba478a766336b07bf999780bbca7c373f94c22b15ddcaea611,2681939,380,2026-09-06T11:50:28+00:00,materialized,44,0
moj-judgments-1434-volume-8.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-8.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/8.pdf,d868ebfe6fc973b4adfc66f247af5f505cca6891fa73560b410c21049cfdcd2b,3518655,386,2026-09-06T11:50:35+00:00,materialized,33,1
moj-judgments-1434-volume-9.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-9.pdf,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/9.pdf,a509db3eac4c6e5043bd1e587775ecc12c01e281056b276cdd6bca3275c8a9c1,3696508,433,2026-09-06T11:50:40+00:00,materialized,24,3
