candidate_id,source_file,start_page,end_page,reference_field,reference_value,text_sha256,reason,related_record_ids
recovered-moj-1434-v4-p254-341487757,moj-judgments-1434-volume-4.pdf,254,262,lawsuitNumber,3494221,3124c0da5abc6979c920d0d4c37267497cc3d27d477540abe4d4f2eaa8388609,shared_reference_distinct_text_pending_review,collector-1435-v4-p238-3494221
recovered-moj-1434-v7-p14-34356258,moj-judgments-1434-volume-7.pdf,14,24,lawsuitNumber,33306860,4e08c245bfc980a55e97fee4532c4d253cee8dbac6b330039364f301917b33e7,shared_reference_distinct_text_pending_review,collector-1435-v4-p394-33306860
recovered-moj-1434-v7-p331-34324759,moj-judgments-1434-volume-7.pdf,331,343,lawsuitNumber,3426387,c2c86f97d276812b39193a392aa13a2b58cf8779c06999101cee42e7a657e67e,shared_reference_distinct_text_pending_review,collector-1435-v4-p428-3426387
recovered-moj-1434-v8-p322-34290714,moj-judgments-1434-volume-8.pdf,322,329,lawsuitNumber,34239134,71573645957e3b1183c839b3927d85d9af87956c553e64e322166a8af7f796f1,shared_reference_distinct_text_pending_review,collector-1435-v4-p136-34239134
recovered-moj-1434-v12-p230-34343086,moj-judgments-1434-volume-12.pdf,230,236,lawsuitNumber,33704224,a738c284f684be0aa8b7ce514cbdaea743088be7f2434eca9e9d7dd9d4369ffa,shared_reference_distinct_text_pending_review,collector-1435-v9-p250-33704224
recovered-moj-1434-v23-p291-3422718,moj-judgments-1434-volume-23.pdf,291,293,deedNumber,3422718,7b4269210281f3b067a380907d663f3110b5846e8b4f04c3a10e25f1ede5af6d,shared_reference_distinct_text_pending_review,recovered-moj-1434-v19-p227-3422718
recovered-moj-1434-v28-p275-34496030,moj-judgments-1434-volume-28.pdf,275,280,lawsuitNumber,34496030,6498a163f8f61b9a8f8a6dcc1aeeccb18363553fecdbfce75249bfd0debb845c,shared_reference_distinct_text_pending_review,collector-1435-v13-p395-34496030
