candidate_id,source_record_number,source_filename,text_sha256,related_record_ids,match_method,disposition
telegram-linked-precedent-dc73bf217c48e61af1f3c258,107,المدونة 20.pdf,ad92777888ed4ea45387aad20bde2307fac30b96a22a4f9b95d07082c4fcfcc7,telegram-linked-precedent-52d35e9b409a252b6db174af,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-a858031298b2592d168577ba,108,المدونة 20.pdf,5ac712785e52654e475d8e5517f429b2fc1fc63499d95caf371774735b927b70,telegram-linked-precedent-909f370c5a146e6844df4476,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-dff7ba87dee572b294fa56f0,109,المدونة 20.pdf,86c03d8226510237d4da1d9804fb740ae1fb78ebd9a339d6a8a74e93fcd7dcce,telegram-linked-precedent-bab560e63f266eee509fbaf9,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-9187280b040608c0e408abfe,110,المدونة 20.pdf,8eb76e0b71726dc296fcaa617f16675dce187316c51f787294173036bf128e41,telegram-linked-precedent-b36615371e5a32e809177f30,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-02dc1160893a3a60edbef3f6,111,المدونة 20.pdf,625e2cb84b4904c8b322b7be0bf5d5cdafd19569129bba09443467e8fc8e4607,telegram-linked-precedent-e953b52a4ccb909e8422af76,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-96d1a8bb0ddaa8d0ec6d5c3c,112,المدونة 20.pdf,9e308cd5e99fde12d2f7d7427a00cc9a6377cd5fd845a7288f6dd56b385bb305,telegram-linked-precedent-8abc3ba6f4202afd7e822763,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-bc8a4de0d760f63d6842e88a,113,المدونة 20.pdf,317b7a8272862eeca751915b549ed21d75bdb69198b67f280a040a53e20d70a9,telegram-linked-precedent-b183a759ad59aa6db3e5775d,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-afc25066baf25eb95ea88644,114,المدونة 20.pdf,8b6ae7a0a16feaee9f9011a9eb8a86f023aac1458f18b6eb339cbb2c22ad2c07,telegram-linked-precedent-82c283d6a8c0fcd1f1824f58,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-a40b9c22a385d7d432703d85,115,المدونة 20.pdf,cd91329f8fa4ddeaaba24f73246a94d0db0cba0c89056a7364eddf1dbc50a06c,telegram-linked-precedent-2ed4f346ba3b66a915ff71f4,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-b93426bd3d20efb46323d2d3,116,المدونة 20.pdf,eb73918801e1b1a176278b4c7b2d22fd006867a32d2cd51f447b42846ada2491,telegram-linked-precedent-a18dc2ad457e1f46f3f914c5,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-e5ec7b3785c635155d70e33c,117,المدونة 20.pdf,365cb555d17052e1290bd4eda196ae4278e67a0c67b678421515e6b6d0963804,telegram-linked-precedent-7f81c64ec2cdde0908b4db53,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-168b559693aa8a919bf9fd3f,118,المدونة 20.pdf,7541749abc72f9a585ec68e84a3143e9bf1a66b0d208293b7ea344c20c975b44,telegram-linked-precedent-4ec48d39ae6f89cdc418d843,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-462591187ae6cba679c1bd22,119,المدونة 20.pdf,ebf7a0f5ef3040dc97655153a3b722496db488bbc55a8c21d1199229c1c87b45,telegram-linked-precedent-ac6575adfa3490dd9f8bf949,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-70ad976b31f58f7bfc92fb38,120,المدونة 20.pdf,f3322b12caa175fc7db887ebb713cb48884e3e071335c4b428ce60d6224def1c,telegram-linked-precedent-888281f676e0cc73de2a9010,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-560404667609f7f07b79609e,121,المدونة 20.pdf,ebb154d8c04d47b5fdce1ab920d9234f0463ef688731572288b268aadcb3ba7d,telegram-linked-precedent-aea07882f48af93c4a5ced4e,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-703d33675aee564c05506369,122,المدونة 20.pdf,cb3d9c668d5a8a7a35e91b2b9975a1e5ffbb59681220f95fce6218310c536e77,telegram-linked-precedent-424d6a718c1685b590b69aac,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-fbb8dfd7b67b524e7a5fe9b8,123,المدونة 20.pdf,d2ca685df744ae913f3ae757a8456fc43f2325ec542e4f4f80c3faad2062a29d,telegram-linked-precedent-c8edaa4d74e63ff03eb12c28,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-1837f693cf16f46c583de487,124,المدونة 20.pdf,ec1aeabc000f15741094a6f5c04427609c2913a8a19dae2b5a4e3b0d012f1817,telegram-linked-precedent-479ba081d497b4b22ffafd64,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-51d817350853d1fee09b8214,125,المدونة 20.pdf,2c3d5909c402606287378489ddd6833af0f804097096f22b8a6b05e6eefec253,telegram-linked-precedent-60f9c71abe86421983a62223,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-3bb33bd366533651717f23d4,126,المدونة 20.pdf,51133a3886cda1f9e39410956fcf71c87db74f698d1e61ceb0d9e93e04cb5743,telegram-linked-precedent-87dc01a9d81a498989eb5ede,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-9630018bef3f02597de93795,127,المدونة 20.pdf,a5bdbdd834eaf35569f937db200fcb68d499a7e8f97f7013ff52dfad04c8f96f,telegram-linked-precedent-f1d8da15cc117a83d5661f4a,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
