portal_id,source_page,circular_number,circular_date,subject,file,sha256,status,notes
37191,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37191,,,,,,no_pdf_found,no downloadable PDF attachment detected
37203,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37203,,,,,,no_pdf_found,no downloadable PDF attachment detected
37299,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37299,,,,,,no_pdf_found,no downloadable PDF attachment detected
37339,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37339,,,,,,no_pdf_found,no downloadable PDF attachment detected
37354,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37354,,,,,,no_pdf_found,no downloadable PDF attachment detected
37366,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37366,,,,,,no_pdf_found,no downloadable PDF attachment detected
37381,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37381,,,,,,no_pdf_found,no downloadable PDF attachment detected
37403,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37403,,,,,,no_pdf_found,no downloadable PDF attachment detected
37430,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37430,,,,,,no_pdf_found,no downloadable PDF attachment detected
37432,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37432,,,,,,no_pdf_found,no downloadable PDF attachment detected
37448,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37448,,,,,,no_pdf_found,no downloadable PDF attachment detected
37455,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37455,,,,,,no_pdf_found,no downloadable PDF attachment detected
37461,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37461,,,,,,no_pdf_found,no downloadable PDF attachment detected
37467,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37467,,,,,,no_pdf_found,no downloadable PDF attachment detected
37472,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37472,,,,,,no_pdf_found,no downloadable PDF attachment detected
37484,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37484,,,,,,no_pdf_found,no downloadable PDF attachment detected
37485,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37485,,,,,,no_pdf_found,no downloadable PDF attachment detected
37515,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37515,,,,,,no_pdf_found,no downloadable PDF attachment detected
37516,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37516,,,,,,no_pdf_found,no downloadable PDF attachment detected
37525,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37525,,,,,,no_pdf_found,no downloadable PDF attachment detected
37529,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37529,,,,,,no_pdf_found,no downloadable PDF attachment detected
37536,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37536,,,,,,no_pdf_found,no downloadable PDF attachment detected
37571,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37571,,,,,,no_pdf_found,no downloadable PDF attachment detected
37573,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37573,,,,,,no_pdf_found,no downloadable PDF attachment detected
37585,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37585,,,,,,no_pdf_found,no downloadable PDF attachment detected
37591,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37591,,,,,,no_pdf_found,no downloadable PDF attachment detected
37596,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37596,,,,,,no_pdf_found,no downloadable PDF attachment detected
37611,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37611,,,,,,no_pdf_found,no downloadable PDF attachment detected
37613,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37613,,,,,,no_pdf_found,no downloadable PDF attachment detected
37631,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37631,,,,,,no_pdf_found,no downloadable PDF attachment detected
37644,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37644,,,,,,no_pdf_found,no downloadable PDF attachment detected
37664,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37664,,,,,,no_pdf_found,no downloadable PDF attachment detected
37676,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37676,,,,,,no_pdf_found,no downloadable PDF attachment detected
37730,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37730,,,,,,no_pdf_found,no downloadable PDF attachment detected
37752,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37752,,,,,,no_pdf_found,no downloadable PDF attachment detected
37754,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37754,,,,,,no_pdf_found,no downloadable PDF attachment detected
37784,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37784,,,,,,no_pdf_found,no downloadable PDF attachment detected
37819,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37819,,,,,,no_pdf_found,no downloadable PDF attachment detected
37832,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37832,,,,,,no_pdf_found,no downloadable PDF attachment detected
37840,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37840,,,,,,no_pdf_found,no downloadable PDF attachment detected
37844,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37844,,,,,,no_pdf_found,no downloadable PDF attachment detected
37867,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37867,,,,,,no_pdf_found,no downloadable PDF attachment detected
37869,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37869,,,,,,no_pdf_found,no downloadable PDF attachment detected
37871,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37871,,,,,,no_pdf_found,no downloadable PDF attachment detected
37908,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37908,,,,,,no_pdf_found,no downloadable PDF attachment detected
37951,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37951,,,,,,no_pdf_found,no downloadable PDF attachment detected
37964,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37964,,,,,,no_pdf_found,no downloadable PDF attachment detected
